Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-0193,Sts. Theotimos & Theodoulos,the executioners converted by St. Hermione,Male,Righteous,Layperson,,,,Faith; Repentance,,Asia Minor,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Theotimos and Theodoulos, pray to God for us.",,,Two executioners who came to faith in Christ through St. Hermione and reposed in peace (c. 117),,,,,,Synaxarion
OS-0194,St. Petronius of Ephesus,"Petronius, disciple of St. John the Theologian",Male,Righteous,,,,,Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Father Petronius, pray to God for us.",,,"A disciple, likely of St. John the Theologian, who met St. Hermione at Ephesus (2nd c.)",,,,,,Synaxarion
OS-0195,Martyrs Christodoula & Her Sons,"Urban, Prilidian, Epolonios",Male & Female,Martyr,Layperson,Parent,,Persecution; Loss of a Child,Courage; Faith,Children,,Pan-Orthodox,Pre-Nicene,3rd,Sep 4,"Holy Martyrs Christodoula and her sons, pray to God for us.",,,"A mother martyred with her three sons — Urban, Prilidian, and Epolonios (251)",,,,,,Synaxarion
OS-0196,Hieromartyr Babylas of Antioch,"Babylas, Bishop of Antioch, with three youths",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Courage; Faith; Zeal,,Syria,Pan-Orthodox,Pre-Nicene,3rd,Sep 4,"Holy Hieromartyr Babylas, pray to God for us.",,,"Bishop of Antioch who barred an emperor stained with blood from the church; martyred with three young students, Ammonius, Donatos, and Faustus (c. 251)",,,,,,Synaxarion
OS-0197,Martyr Babylas of Nicomedia & 84 Children,Babylas the teacher and his pupils,Male & Female,Martyr; Child-Saint,Layperson,Child,Teacher,Persecution,Courage; Faith; Purity,Children,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Sep 4,"Holy Martyr Babylas and the children with you, pray to God for us.",,,A Christian teacher martyred at Nicomedia together with his eighty-four young pupils,,,,,,Synaxarion
OS-0198,"Martyrs Theodore, Ammianus, Julian, Oceanus & Centurionus",,Male,Martyr,Layperson,,,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,3rd,Sep 4,"Holy Martyrs Theodore and companions, pray to God for us.",,,Martyrs of Nicomedia whose feet were cut off and who were cast into the fire under Maximian (288),,,,,,Synaxarion; Roman Martyrology
OS-0199,"Martyrs Kegourus, Secundinus, Secundus & Their Mother Jerusalem",the martyrs of Veria,Male & Female,Martyr,Layperson,Parent,,Persecution,Courage; Faith,,Greece,Pan-Orthodox,Pre-Nicene,,Sep 4,"Holy Martyrs and their mother Jerusalem, pray to God for us.",,,A mother and her sons martyred at Veria (Berea) in Macedonia,,,,,,Synaxarion
OS-0200,Martyr Charitina of Amisus,,Female,Martyr,Layperson,Single Adult,,Persecution; Torture,Courage; Faith; Purity,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Oct 5; Sep 4,"Holy Martyr Charitina, pray to God for us.",,,A virgin-martyr of Amisus on the Black Sea (c. 304); her principal feast is October 5,,,,,,Synaxarion
OS-0201,St. Petronius of Egypt,"Petronius, disciple of St. Pachomius",Male,Venerable (Monastic),Monastic,Single Adult,,,Humility; Obedience,,Egypt,Pan-Orthodox,Byzantine,4th,Sep 4,"Venerable Father Petronius, pray to God for us.",,,A disciple of St. Pachomius the Great who briefly led the Egyptian communities after him (346),,,,,,Synaxarion
OS-0202,St. Candida the Elder of Naples,,Female,Righteous,Layperson,,,,Faith; Hospitality,,Italy / Rome,Western (pre-schism),Apostolic Age,1st,Sep 4,"Holy Candida, pray to God for us.",,,"An aged woman of Naples who welcomed the Apostle Peter, was healed and baptized by him, and led St. Aspren to the faith (c. 78)",,,,,,Roman Martyrology
OS-0203,Martyr Marcellus of Chalon,"Marcellus, priest of Lyons",Male,Martyr,Clergy - Priest,,,Persecution; Torture,Courage; Faith,,Gaul / France,Western (pre-schism),Pre-Nicene,2nd,Sep 4,"Holy Martyr Marcellus, pray to God for us.",,,"A priest who, refusing a pagan banquet, was buried alive to the waist by the Saône and praised God for three days until he died (c. 178)",,,,,,Roman Martyrology
OS-0204,St. Marinus of San Marino,Marinus the Deacon,Male,Venerable (Monastic); Hermit,Clergy - Deacon; Monastic,Single Adult,Craftsman,,Humility; Self-Control,,Italy / Rome,Western (pre-schism),Byzantine,4th,Sep 4,"Venerable Father Marinus, pray to God for us.",,,A Dalmatian stonemason and deacon who lived as a hermit; the Republic of San Marino grew around his cell (4th c.),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0205,Hieromartyr Marcellus of Trier,"Marcellus, Bishop of Trier",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Faith; Courage,,Germany,Western (pre-schism),Byzantine,,Sep 4,"Holy Hieromartyr Marcellus, pray to God for us.",,,A bishop of Trier venerated as a martyr,,,,,,Roman Martyrology
OS-0206,St. Salvinus of Verdun,"Salvinus, Bishop of Verdun",Male,Hierarch,Clergy - Bishop,,,,Faith,,Gaul / France,Western (pre-schism),Byzantine,5th,Sep 4,"Holy Hierarch Salvinus, pray to God for us.",,,The third Bishop of Verdun in northern Gaul (c. 420),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0207,"St. Boniface I, Pope of Rome","Boniface, Pope of Rome",Male,Hierarch,Clergy - Bishop,,,,Faith; Humility,,Italy / Rome,Western (pre-schism); Pan-Orthodox,Byzantine,5th,Sep 4,"Holy Hierarch Boniface, pray to God for us.",,,A Roman priest elected Pope of Rome in 418 (d. 422),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0208,St. Monessa of Ireland,,Female,Righteous,Layperson,Single Adult,,,Faith; Purity,,Ireland,Western (pre-schism),Byzantine,5th,Sep 4,"Holy Monessa, pray to God for us.",,,"An Irish chieftain's daughter converted by St. Patrick, who reposed in joy soon after her baptism (456)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0209,St. Caletricus of Chartres,"Caletric, Bishop of Chartres",Male,Hierarch,Clergy - Bishop,,,,Faith,,Gaul / France,Western (pre-schism),Byzantine,6th,Sep 4,"Holy Hierarch Caletricus, pray to God for us.",,,Bishop of Chartres in Gaul (c. 580),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0210,St. Ultan of Ardbraccan,"Ultan, Bishop of Ardbraccan",Male,Hierarch; Venerable (Monastic),Clergy - Bishop,,,,Charity; Love; Mercy,Children,Ireland,Western (pre-schism),Byzantine,7th,Sep 4,"Holy Hierarch Ultan, pray to God for us.",,,"An Irish bishop renowned for his love of children, gathering and caring for orphans (7th c.)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0211,St. Rhuddlad of Anglesey,Rhuddlad of Llanrhyddlad,Female,Righteous,,,,,Faith,,Wales,Western (pre-schism),Byzantine,7th,Sep 4,"Holy Rhuddlad, pray to God for us.",,,"Patron saint of Llanrhyddlad in Anglesey, Wales (7th c.)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0212,St. Ida of Herzfeld,Ida the Widow,Female,Righteous,Layperson,Married; Widowed; Parent,,Widowhood,Charity; Mercy; Faith,,Germany,Western (pre-schism),Byzantine,9th,Sep 4,"Holy Ida, pray to God for us.",,,"A noblewoman who, widowed young, founded the convent of Herzfeld in Westphalia and fed the poor daily from a stone coffin she had made for herself (c. 813)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0213,Hieromartyr Sulpicius of Bayeux,"Sulpice, Bishop of Bayeux",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution; War,Faith; Courage,,Gaul / France,Western (pre-schism),Byzantine,9th,Sep 4,"Holy Hieromartyr Sulpicius, pray to God for us.",,,"Bishop of Bayeux, slain by Viking raiders at Livry (843)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0214,St. Symeon of Gareji,Symeon the Wonderworker of David Gareja,Male,Venerable (Monastic); Wonderworker,Monastic,Single Adult,,,Humility; Self-Control,,Georgia,Georgian,Post-Byzantine,18th,Sep 4,"Venerable Father Symeon, pray to God for us.",,,Abbot and wonderworker of the David Gareja monastery in Georgia (1773),,,,,,Synaxarion
OS-0215,Venerable Anthimus the Blind of Cephalonia,Anthimus the New Ascetic; patron of Astypalaia,Male,Venerable (Monastic); Ascetic,Monastic,Single Adult,,Blindness; Disability,Patience; Perseverance; Faith,,Greece,Greek,Post-Byzantine,18th,Sep 4,"Venerable Father Anthimus, pray to God for us.",,,"A blind ascetic of Cephalonia, founder of a monastery and patron of Astypalaia (1782)",,,,,,Synaxarion
OS-0216,New Hieromartyr Parthenius of Kiziltash,"Parthenius, abbot of Kiziltash, Crimea",Male,New Martyr; Hieromartyr,Clergy - Priest; Monastic,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,19th,Sep 4,"Holy New-Hieromartyr Parthenius, pray to God for us.",,,"Abbot of the Kiziltash Monastery in the Crimea, slain for the faith (1867)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0217,New Hieromartyr Gregory of Schlusselburg,"Gregory (Lebedev), Bishop of Schlüsselburg",Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 4,"Holy New-Hieromartyr Gregory, pray to God for us.",,,"Bishop of Schlüsselburg, martyred in the Soviet persecution (1937)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0218,New Hieromartyr Sergius of Narva,"Sergius (Druzhinin), Bishop of Narva",Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 4,"Holy New-Hieromartyr Sergius, pray to God for us.",,,"Bishop of Narva, martyred in the Soviet persecution (1937)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0219,New Hieromartyr Stephen Kuskov,"Stephen (Kuskov), Hieromonk",Male,New Martyr; Hieromartyr,Clergy - Priest; Monastic,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 4,"Holy New-Hieromartyr Stephen, pray to God for us.",,,"A hieromonk of Nikolskoye in Tver, martyred in the Soviet persecution (1937)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0220,Ten New Hieromartyr Priests of 1937,"Paul Vasilievsky, John Vasilevsky, Nicholas Lebedev, Nicholas Sretensky, John Romashkin, Nicholas Voshtev, Alexander Nikolsky, Peter Lebedinsky, Michael Bogorodsky, Elias Izmailov",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 4,"Holy New-Hieromartyrs, pray to God for us.",,,Ten priests martyred together in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0221,"New Martyrs Basil, Peter, Stephen & Alexander (1937)","Basil Yezhov, Peter Lonskov, Stephen Mityushkin, Alexander Blokhin",Male,New Martyr,Layperson,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 4,"Holy New-Martyrs, pray to God for us.",,,Four laymen martyred in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0222,New Hieromartyr Peter of Dabro-Bosnia,"Peter (Zimonjić), Metropolitan of Dabro-Bosnia",Male,New Martyr; Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Courage; Faith; Perseverance,,Serbia,Serbian,Modern,20th,Sep 4,"Holy New-Hieromartyr Peter, pray to God for us.",,,"Metropolitan of Dabro-Bosnia, seized and martyred during the persecutions of the Second World War (1941)",Among the Serbian New Martyrs,,,,,Synaxarion
OS-0223,New Martyr Elena Chernova,,Female,New Martyr,Layperson,,,Persecution,Courage; Faith; Purity,,Rus' / Russia,Russian,Modern,20th,Sep 4,"Holy New-Martyr Elena, pray to God for us.",,,A woman martyred for the faith during the Soviet persecution (1942),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0224,"St. Ioasaph, Bishop of Belgorod",Joasaph of Belgorod,Male,Hierarch; Wonderworker,Clergy - Bishop,,,,Humility; Mercy; Charity,Healing,Rus' / Russia,Russian,Post-Byzantine,18th,Sep 4; Dec 10,"Holy Hierarch Ioasaph, pray to God for us.",,,"A beloved bishop of Belgorod (d. 1754), known for almsgiving and strictness of life; his relics were uncovered on this day in 1911",His repose is commemorated on Dec 10,,,,,Synaxarion
OS-0225,New-Martyr Theodore Hatzis of Mytilene,Theodore Hatzis,Male,New Martyr,Layperson,,,Persecution,Courage; Faith,,Greece,Greek,Post-Byzantine,18th,Sep 4,"Holy New-Martyr Theodore, pray to God for us.",,,A new-martyr of Mytilene who confessed Christ under the Ottomans (1784),,,,,,Synaxarion
OS-0226,Virgin-Martyr Rhais of Alexandria,Iraida; Raissa,Female,Martyr,Layperson,Single Adult,,Persecution,Courage; Faith; Purity,,Egypt,Pan-Orthodox,Pre-Nicene,4th,Sep 5; Sep 23,"Holy Martyr Rhais, pray to God for us.",,,"A young woman of Alexandria who, seeing captive Christians, openly confessed Christ and was martyred with them (c. 308)",,,,,,Synaxarion
OS-0227,Martyrs Juventinus & Maximinus,the soldier-martyrs of Antioch,Male,Martyr,Layperson,,Soldier,Persecution,Courage; Faith,Military Service,Syria,Pan-Orthodox,Byzantine,4th,Sep 5; Oct 9,"Holy Martyrs Juventinus and Maximinus, pray to God for us.",,,Two soldiers of the imperial guard martyred at Antioch for rebuking the apostate emperor Julian (361-363),Also commemorated Oct 9 (as Juventius and Maximus of Antioch).,,,,,Synaxarion
OS-0228,"Martyrs Urban, Theodore, Medimnus & 77 Companions",the clergy martyred under Valens,Male,Hieromartyr; Martyr,Clergy - Priest,,,Persecution,Courage; Faith,,Constantinople,Pan-Orthodox,Byzantine,4th,Sep 5,"Holy Martyrs Urban, Theodore, Medimnus, and companions, pray to God for us.",,,Seventy-seven priests and deacons of Nicomedia put on a ship and burned at sea by command of the Arian emperor Valens (370),,,,,,Synaxarion
OS-0229,Hieromartyr Abdas of Persia & Companions,"Abdias; Obadiah, with Hormizd and Sunin",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Courage; Faith,,Persia,Pan-Orthodox,Byzantine,5th,Sep 5,"Holy Hieromartyr Abdas, pray to God for us.",,,A bishop in Persia martyred with his companions in the persecution of the Church of the East (c. 420),,,,,,Synaxarion
OS-0230,Martyr Herculanus of Porto,,Male,Martyr,Layperson,,Soldier,Persecution,Courage; Faith,,Italy / Rome,Western (pre-schism),Pre-Nicene,2nd,Sep 5,"Holy Martyr Herculanus, pray to God for us.",,,"A soldier martyred at Porto near Rome, probably under Marcus Aurelius (c. 180)",,,,,,Roman Martyrology
OS-0231,"Martyrs Quintius, Arcontius & Donatus",,Male,Martyr,Layperson,,,Persecution,Courage; Faith,,Italy / Rome,Western (pre-schism),Pre-Nicene,,Sep 5,"Holy Martyrs Quintius, Arcontius, and Donatus, pray to God for us.",,,Martyrs venerated at Capua and elsewhere in southern Italy,,,,,,Roman Martyrology
OS-0232,St. Obdulia of Toledo,,Female,Righteous,Layperson,Single Adult,,,Faith; Purity,,Spain,Western (pre-schism),Unknown,,Sep 5,"Holy Obdulia, pray to God for us.",,,A holy virgin venerated at Toledo in Spain,,,,,,Roman Martyrology
OS-0233,St. Genebald of Laon,"Genebald, Bishop of Laon",Male,Hierarch,Clergy - Bishop,,,Repentance from grave sin,Repentance; Humility; Faith,,Gaul / France,Western (pre-schism),Byzantine,6th,Sep 5,"Holy Hierarch Genebald, pray to God for us.",,,A bishop of Laon and kinsman of St. Remigius who did seven years of penance for a grave sin (c. 555),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0234,St. Victorinus of Como,"Victorinus, Bishop of Como",Male,Hierarch,Clergy - Bishop,,,,Faith; Zeal,,Italy / Rome,Western (pre-schism),Byzantine,7th,Sep 5,"Holy Hierarch Victorinus, pray to God for us.",,,Bishop of Como in Italy and an ardent opponent of Arianism (644),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0235,St. Bertin of Sithiu,"Bertin, Abbot of Saint-Bertin",Male,Venerable (Monastic),Monastic,Single Adult,,,Humility; Obedience,,Gaul / France,Western (pre-schism),Byzantine,8th,Sep 5,"Venerable Father Bertin, pray to God for us.",,,A monk of Luxeuil who became abbot of Sithiu in Gaul and founded many monasteries (c. 709),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0236,Passion-bearers Boris & Gleb,"Romanus and David, princes of Rus'",Male,Passion-Bearer; Right-believing (Ruler),Layperson,Single Adult,Ruler,War,Meekness; Faith; Forgiveness,,Rus' / Russia,Russian,Byzantine,11th,Sep 5; Jul 24; May 2,"Holy Passion-bearers Boris and Gleb, pray to God for us.",,,"The first saints of Rus', princes who chose to be killed rather than take up arms against their brother (1015); Gleb (David) was slain on this day",Their joint feast is Jul 24; the translation of their relics is May 2,,,,,Synaxarion
OS-0237,Venerable-Martyr Athanasius of Brest,"Athanasius Filippovich, Abbot of Brest",Male,Venerable-Martyr,Monastic,Single Adult,,Persecution; Torture,Courage; Faith; Perseverance,,,Russian,Post-Byzantine,17th,Sep 5,"Holy Venerable-Martyr Athanasius, pray to God for us.",,,Abbot of Brest who opposed the forced union of the Church and was tortured and shot for the Orthodox faith (1648),,,,,,Synaxarion
OS-0238,New Hieromartyr Alexis of Great Ustiug,"Alexis (Belkovsky), Archbishop of Great Ustiug",Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 5; Dec 2,"Holy New-Hieromartyr Alexis, pray to God for us.",,,"Archbishop of Great Ustiug, a confessor who suffered in the Soviet persecution (1937)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0239,New Martyr Euthymius Kochev,,Male,New Martyr,Layperson,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 5,"Holy New-Martyr Euthymius, pray to God for us.",,,A martyr of the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0240,New Martyrs of the Czech Lands,"Vladimír Petřek, Václav Čikl, Ján Sonnevend, Václav Ornest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,,Pan-Orthodox,Modern,20th,Sep 5,"Holy New-Martyrs of the Czech Lands, pray to God for us.",,,"Clergy and laymen of the cathedral of Ss. Cyril and Methodius in Prague, martyred by the Nazis in 1942 for sheltering the persecuted",,,,,,Synaxarion
OS-0241,"Martyrs Romulus & the 11,000 in Armenia",,Male,Martyr,Layperson,,Soldier,Persecution,Courage; Faith,,Armenia,Pan-Orthodox,Pre-Nicene,2nd,Sep 6,"Holy Martyrs Romulus and companions, pray to God for us.",,,A Roman officer and a great multitude of soldiers martyred in Armenia for confessing Christ (c. 107-115),,,,,,Synaxarion
OS-0242,"Martyrs Cyriacus, Faustus the Priest, Abibus the Deacon & Companions",the martyrs of Alexandria,Male,Hieromartyr; Martyr,Clergy - Priest,,,Persecution,Courage; Faith,,Egypt,Pan-Orthodox,Pre-Nicene,3rd,Sep 6,"Holy Martyrs of Alexandria, pray to God for us.",,,"A priest, a deacon, and eleven others beheaded for Christ at Alexandria under Decius (250)",,,,,,Synaxarion; Roman Martyrology
OS-0243,"Martyrs of Egypt: Calodote, Macarius & Companions","Macarius, Andrew, Cyriacus, Dionysius, Andrew the Soldier, Andropelagia, Thecla, Theoctistus, Sarapabon",Male & Female,Martyr,Layperson,,,Persecution,Courage; Faith,,Egypt,Pan-Orthodox,Pre-Nicene,3rd,Sep 6,"Holy Martyrs of Egypt, pray to God for us.",,,"A company of men and women, among them a soldier and a senator, martyred together in Egypt (256)",,,,,,Synaxarion
